rank,team_id,team_name,wins,losses,status,total_points,total_awards
1,1,Team A,0,0,Active,0,0
2,12,Team B,0,0,Active,0,0
3,13,Team C,0,0,Active,0,0
4,14,Team D,0,0,Active,0,0
5,15,Team E,0,0,Active,0,0
6,16,Team F,0,0,Active,0,0
7,17,Team G,0,0,Active,0,0
8,18,Team H,0,0,Active,0,0
9,19,Team I,0,0,Active,0,0
10,20,Team J,0,0,Active,0,0
